year;exp_ref_factor;number_articles;number_references;counter_missing;sum_operators;sum_reg_costs_vreg;largest_clump;counter_cycl_compl;counter_quantity;counter_math;num_with_ref;fres_index;fres_total_syllables;fres_total_words;fres_total_sentence
2013;1,1;690;2146;0;70998;6,983132539537959e+19;341;50279;9107;11612;503;19,850409272992863;418621;238380;6298
2014;1,1;691;2148;0;71004;6,99657484574777e+19;341;50281;9108;11615;504;19,865563080577402;418665;238407;6301
2015;1,1;693;2153;0;71395;8,407512212685685e+19;343;50538;9152;11705;506;19,8749914726626;421406;239939;6346
2016;1,1;693;2153;0;71396;8,407512212685685e+19;343;50539;9152;11705;506;19,884070021976527;421405;239958;6346
2017;1,1;693;2153;0;71396;8,407512212685685e+19;343;50539;9152;11705;506;19,884070021976527;421405;239958;6346
2018;1,1;694;2162;0;72096;8,526669378516409e+19;343;51033;9246;11817;507;19,90896505828033;425642;242648;6393
2019;1,1;798;2501;3;84663;3,6610523085966496e+22;406;60311;10716;13636;575;20,767844443033596;498194;285759;7519
2020;1,1;807;2544;1;88726;6,500364091469855e+22;411;63080;11348;14298;589;20,43559615441302;521119;298975;7793
2021;1,1;879;2964;7;98360;1,9302224598363359e+25;471;69502;12643;16215;659;19,427114859329976;576338;331910;8317
2022;1,1;880;2970;7;98914;2,1455318681538674e+25;472;69842;12736;16336;661;19,448736142681668;579111;333575;8357
2023;1,1;883;2986;7;99482;2,8502141720569612e+25;475;70246;12822;16414;664;19,422920712027917;582308;335398;8399
2024;1,1;900;3112;7;102821;5,681165813820649e+25;482;72776;13165;16880;678;19,482917870303027;600706;345666;8699
2025;1,1;915;3131;9;108992;1,2022004722765166e+26;489;77154;13680;18158;698;18,978068203543955;640253;371185;8985
